city,date,year,month,day_of_year,LST_Day_Urban,LST_Day_Rural,LST_Night_Urban,UHI_Index
Bangalore,2022-11-01,2022,11,305,27.928136833450814,27.330510993545822,17.8139445455728,0.5976258399049925
Bangalore,2022-11-09,2022,11,313,25.845289868888887,26.63095909647844,19.163602135462835,-0.7856692275895512
Bangalore,2022-11-17,2022,11,321,25.69713022356785,25.363174076060517,15.798490533939313,0.33395614750733316
Bangalore,2022-11-25,2022,11,329,26.689589723275457,26.415367109945635,19.246966498783358,0.27422261332982245
Bangalore,2022-12-03,2022,12,337,27.092707258676775,26.986739765689453,18.269208585725604,0.10596749298732178
Bangalore,2022-12-11,2022,12,345,26.738370639587774,26.8477889655963,16.891615269826957,-0.10941832600852663
Bangalore,2022-12-19,2022,12,353,27.15280936973445,27.516095551456047,17.805600235690616,-0.3632861817215982
Bangalore,2022-12-27,2022,12,361,28.84046228492294,28.58691047030397,18.23570294208489,0.2535518146189695
Bangalore,2023-01-01,2023,1,1,26.25920729472617,26.703070107909518,18.345830154494212,-0.4438628131833475
Bangalore,2023-01-09,2023,1,9,26.840904329408584,27.787303138263457,16.442665724167856,-0.9463988088548732
Bangalore,2023-01-17,2023,1,17,27.418430323241388,28.303254567313804,17.509665362497735,-0.8848242440724157
Bangalore,2023-01-25,2023,1,25,28.549541888181615,29.333909851749482,18.1939615617963,-0.7843679635678669
Bangalore,2023-02-02,2023,2,33,29.49531798903437,30.248493245502186,20.12339148307939,-0.7531752564678165
Bangalore,2023-02-10,2023,2,41,32.52919983310783,33.36580668016917,19.637983758535462,-0.8366068470613399
Bangalore,2023-02-18,2023,2,49,32.949041140788346,33.988799044597094,20.578718377966823,-1.0397579038087486
Bangalore,2023-02-26,2023,2,57,32.7671666734686,33.63951195647846,20.334276925274505,-0.8723452830098566
Bangalore,2023-03-06,2023,3,65,34.40503941123804,35.57895679634781,21.27045978915121,-1.1739173851097675
Bangalore,2023-03-14,2023,3,73,32.93748980206748,34.3246885552015,21.592107147823686,-1.3871987531340153
Bangalore,2023-03-22,2023,3,81,33.07451829036473,34.112951933675234,22.393806842288026,-1.0384336433105048
